iter	Passed	Remaining
0	171	171134
1	196	98118
2	220	73345
3	247	61592
4	254	50609
5	282	46840
6	307	43669
7	332	41253
8	356	39207
9	381	37722
10	407	36638
11	428	35297
12	449	34156
13	473	33339
14	494	32472
15	517	31806
16	544	31491
17	567	30959
18	591	30559
19	633	31065
20	659	30724
21	683	30370
22	698	29670
23	725	29493
24	748	29195
25	774	28999
26	796	28714
27	823	28602
28	847	28387
29	873	28228
30	896	28035
31	922	27892
32	944	27679
33	968	27519
34	996	27483
35	1021	27348
36	1113	28984
37	1157	29290
38	1185	29214
39	1211	29067
40	1236	28929
41	1260	28745
42	1283	28555
43	1309	28460
44	1332	28280
45	1358	28171
46	1385	28093
47	1406	27892
48	1429	27735
49	1453	27608
50	1475	27453
51	1498	27311
52	1519	27154
53	1541	27009
54	1564	26878
55	1586	26746
56	1608	26602
57	1630	26475
58	1652	26352
59	1674	26237
60	1696	26116
61	1718	26002
62	1740	25879
63	1762	25775
64	1783	25657
65	1805	25548
66	1828	25456
67	1849	25351
68	1871	25254
69	1893	25156
70	1915	25065
71	1936	24963
72	1958	24870
73	1980	24784
74	2002	24694
75	2024	24612
76	2046	24533
77	2068	24455
78	2091	24379
79	2114	24315
80	2136	24243
81	2158	24168
82	2180	24094
83	2218	24191
84	2260	24332
85	2299	24441
86	2338	24543
87	2374	24613
88	2413	24705
89	2457	24852
90	2497	24946
91	2534	25009
92	2574	25110
93	2620	25261
94	2658	25323
95	2702	25445
96	2744	25549
97	2787	25653
98	2825	25717
99	2866	25794
100	2908	25888
101	2943	25918
102	2982	25973
103	3019	26012
104	3054	26038
105	3088	26047
106	3128	26110
107	3169	26181
108	3216	26291
109	3256	26349
110	3297	26412
111	3347	26537
112	3389	26609
113	3434	26694
114	3481	26791
115	3523	26852
116	3566	26914
117	3604	26938
118	3642	26966
119	3681	26997
120	3716	26995
121	3757	27038
122	3800	27098
123	3850	27201
124	3888	27216
125	3926	27239
126	3962	27241
127	4004	27282
128	4041	27288
129	4078	27294
130	4114	27295
131	4152	27304
132	4187	27299
133	4221	27280
134	4255	27266
135	4294	27280
136	4332	27292
137	4375	27332
138	4414	27344
139	4451	27346
140	4487	27339
141	4526	27351
142	4563	27351
143	4598	27338
144	4636	27336
145	4675	27350
146	4719	27383
147	4761	27412
148	4804	27439
149	4848	27476
150	4890	27499
151	4926	27484
152	4960	27462
153	4993	27429
154	5037	27461
155	5076	27466
156	5109	27433
157	5142	27403
158	5180	27399
159	5219	27400
160	5257	27396
161	5295	27393
162	5332	27382
163	5372	27384
164	5409	27374
165	5440	27334
166	5473	27302
167	5512	27297
168	5552	27301
169	5589	27288
170	5632	27304
171	5668	27286
172	5701	27255
173	5738	27243
174	5776	27229
175	5809	27197
176	5843	27172
177	5878	27147
178	5913	27123
179	5950	27108
180	5985	27084
181	6018	27049
182	6051	27016
183	6083	26977
184	6116	26945
185	6150	26917
186	6187	26899
187	6219	26860
188	6249	26818
189	6282	26783
190	6318	26763
191	6353	26736
192	6384	26697
193	6416	26656
194	6449	26625
195	6482	26589
196	6516	26562
197	6550	26530
198	6583	26500
199	6614	26458
200	6648	26429
201	6685	26411
202	6720	26384
203	6752	26349
204	6792	26342
205	6830	26325
206	6865	26300
207	6898	26267
208	6930	26228
209	6961	26189
210	6998	26171
211	7031	26136
212	7066	26108
213	7103	26089
214	7139	26068
215	7172	26033
216	7205	25999
217	7237	25962
218	7268	25920
219	7303	25894
220	7336	25861
221	7370	25829
222	7403	25795
223	7434	25756
224	7471	25735
225	7505	25703
226	7537	25666
227	7570	25634
228	7601	25592
229	7633	25555
230	7668	25527
231	7700	25491
232	7733	25457
233	7766	25422
234	7799	25390
235	7834	25363
236	7871	25341
237	7910	25326
238	7951	25317
239	7991	25305
240	8022	25266
241	8060	25246
242	8094	25215
243	8132	25195
244	8169	25175
245	8210	25164
246	8250	25151
247	8289	25135
248	8329	25122
249	8364	25093
250	8401	25070
251	8433	25033
252	8467	25000
253	8500	24964
254	8535	24936
255	8570	24909
256	8607	24885
257	8641	24852
258	8674	24818
259	8711	24794
260	8746	24764
261	8779	24731
262	8812	24694
263	8848	24668
264	8883	24640
265	8919	24611
266	8951	24573
267	8984	24539
268	9017	24503
269	9046	24460
270	9083	24435
271	9122	24415
272	9160	24394
273	9191	24353
274	9228	24330
275	9262	24296
276	9293	24257
277	9327	24225
278	9359	24188
279	9391	24149
280	9426	24119
281	9459	24084
282	9495	24058
283	9527	24021
284	9562	23989
285	9596	23958
286	9634	23934
287	9667	23901
288	9702	23870
289	9736	23837
290	9767	23798
291	9802	23768
292	9845	23757
293	9884	23735
294	9920	23708
295	9955	23678
296	9996	23660
297	10033	23634
298	10065	23597
299	10099	23565
300	10132	23530
301	10163	23490
302	10198	23459
303	10232	23428
304	10268	23397
305	10300	23361
306	10333	23326
307	10369	23297
308	10412	23283
309	10450	23260
310	10486	23232
311	10519	23196
312	10551	23160
313	10584	23125
314	10617	23088
315	10651	23056
316	10689	23030
317	10723	22997
318	10757	22964
319	10795	22940
320	10834	22917
321	10870	22888
322	10910	22868
323	10947	22840
324	10983	22812
325	11015	22773
326	11050	22742
327	11087	22715
328	11124	22689
329	11162	22663
330	11202	22641
331	11238	22613
332	11276	22586
333	11317	22566
334	11359	22549
335	11395	22519
336	11431	22490
337	11465	22456
338	11504	22431
339	11540	22402
340	11576	22372
341	11611	22339
342	11647	22310
343	11684	22281
344	11718	22247
345	11751	22213
346	11787	22183
347	11822	22149
348	11859	22121
349	11891	22084
350	11928	22056
351	11966	22028
352	12028	22047
353	12064	22015
354	12098	21982
355	12133	21949
356	12171	21922
357	12210	21897
358	12255	21882
359	12308	21882
360	12357	21874
361	12404	21862
362	12451	21849
363	12497	21836
364	12541	21818
365	12583	21798
366	12627	21780
367	12674	21766
368	12749	21801
369	12786	21772
370	12825	21745
371	12864	21717
372	12900	21685
373	12935	21652
374	12979	21632
375	13018	21604
376	13054	21572
377	13089	21538
378	13133	21519
379	13170	21488
380	13210	21461
381	13250	21435
382	13288	21406
383	13331	21386
384	13380	21373
385	13425	21354
386	13467	21331
387	13517	21321
388	13563	21304
389	13607	21283
390	13648	21258
391	13685	21226
392	13728	21203
393	13777	21190
394	13825	21175
395	13867	21152
396	13908	21125
397	13945	21092
398	13980	21058
399	14018	21027
400	14056	20997
401	14089	20959
402	14128	20929
403	14171	20906
404	14210	20877
405	14248	20846
406	14292	20823
407	14335	20800
408	14380	20779
409	14427	20761
410	14470	20737
411	14514	20714
412	14557	20690
413	14597	20662
414	14643	20642
415	14680	20609
416	14722	20583
417	14758	20548
418	14793	20513
419	14828	20478
420	14867	20447
421	14906	20417
422	14943	20383
