iter	Passed	Remaining
0	140	140251
1	143	71659
2	145	48198
3	146	36426
4	147	29330
5	148	24605
6	149	21210
7	150	18658
8	151	16650
9	152	15063
10	152	13739
11	153	12642
12	154	11716
13	154	10913
14	155	10243
15	156	9650
16	157	9120
17	158	8651
18	159	8233
19	160	7848
20	160	7498
21	161	7181
22	162	6892
23	162	6624
24	163	6376
25	164	6151
26	164	5941
27	165	5745
28	166	5565
29	166	5396
30	167	5246
31	168	5097
32	169	4960
33	170	4831
34	171	4726
35	172	4609
36	172	4497
37	173	4390
38	174	4290
39	174	4194
40	175	4104
41	176	4018
42	176	3935
43	177	3855
44	178	3779
45	178	3707
46	179	3638
47	180	3572
48	180	3509
49	181	3448
50	182	3391
51	182	3334
52	183	3279
53	184	3228
54	185	3186
55	186	3140
56	186	3091
57	187	3046
58	188	3002
59	188	2959
60	189	2917
61	190	2877
62	190	2839
63	191	2800
64	192	2762
65	192	2727
66	193	2692
67	194	2660
68	194	2627
69	195	2596
70	196	2565
71	196	2535
72	197	2508
73	198	2479
74	198	2453
75	199	2430
76	200	2406
77	201	2382
78	202	2358
79	202	2333
80	203	2310
81	204	2288
82	204	2261
83	205	2239
84	206	2217
85	206	2196
86	207	2175
87	208	2156
88	208	2137
89	209	2118
90	210	2100
91	210	2082
92	211	2063
93	212	2046
94	213	2029
95	213	2013
96	214	1996
97	215	1982
98	216	1967
99	216	1952
100	217	1936
101	218	1920
102	218	1904
103	219	1890
104	220	1876
105	220	1861
106	228	1910
107	229	1896
108	230	1884
109	231	1870
110	232	1860
111	233	1848
112	233	1835
113	234	1822
114	235	1809
115	235	1797
116	236	1784
117	237	1772
118	237	1759
119	238	1748
120	238	1736
121	239	1723
122	240	1714
123	241	1704
124	241	1692
125	242	1682
126	243	1670
127	243	1661
128	244	1651
129	245	1641
130	246	1633
131	247	1624
132	247	1615
133	248	1606
134	249	1597
135	250	1589
136	250	1580
137	251	1571
138	252	1562
139	252	1553
140	253	1545
141	254	1534
142	254	1526
143	255	1517
144	256	1509
145	256	1501
146	257	1493
147	258	1485
148	258	1478
149	259	1471
150	260	1463
151	261	1457
152	262	1452
153	263	1446
154	263	1439
155	264	1432
156	265	1425
157	266	1418
158	266	1411
159	267	1404
160	267	1396
161	268	1389
162	269	1383
163	270	1376
164	270	1370
165	271	1364
166	272	1358
167	273	1352
168	273	1346
169	274	1340
170	275	1335
171	276	1329
172	276	1323
173	277	1318
174	278	1313
175	279	1307
176	280	1301
177	280	1296
178	281	1290
179	282	1285
180	282	1280
181	283	1274
182	284	1269
183	285	1264
184	286	1261
185	287	1256
186	288	1252
187	288	1247
188	289	1242
189	290	1237
190	291	1233
191	292	1229
192	292	1225
193	294	1221
194	294	1217
195	295	1213
196	296	1208
197	297	1204
198	298	1200
199	298	1195
200	299	1191
201	300	1187
202	301	1182
203	301	1178
204	302	1173
205	303	1169
206	304	1165
207	305	1161
208	305	1157
209	306	1153
210	307	1151
211	308	1147
212	309	1143
213	310	1139
214	310	1135
215	311	1131
216	312	1128
217	313	1125
218	314	1122
219	315	1118
220	316	1114
221	316	1110
222	317	1106
223	318	1104
224	319	1100
225	320	1097
226	321	1094
227	322	1091
228	323	1087
229	323	1084
230	324	1081
231	325	1078
232	326	1075
233	327	1072
234	328	1068
235	329	1065
236	329	1061
237	330	1058
238	331	1055
239	332	1052
240	333	1049
241	333	1046
242	334	1042
243	335	1038
244	336	1036
245	337	1034
246	338	1031
247	339	1028
248	340	1025
249	340	1022
250	341	1019
251	342	1016
252	343	1013
253	344	1010
254	344	1007
255	345	1004
256	346	1001
257	347	998
258	347	994
259	348	992
260	349	990
261	351	990
262	352	988
263	353	986
264	354	983
265	355	981
266	356	978
267	357	975
268	358	973
269	358	970
270	359	967
271	360	964
272	361	961
273	362	959
274	363	958
275	364	955
276	365	953
277	366	951
278	367	949
279	368	947
280	369	945
281	370	943
282	371	940
283	372	938
284	372	935
285	373	932
286	374	930
287	375	927
288	376	925
289	377	923
290	377	920
291	378	917
292	379	915
293	380	913
294	382	913
295	383	911
296	384	909
297	385	908
298	387	907
299	388	906
300	389	903
301	390	901
302	390	899
303	391	896
304	392	894
305	393	892
306	394	889
307	394	887
308	395	885
309	397	883
310	398	882
311	399	880
312	400	877
313	401	876
314	402	875
315	403	872
316	404	870
317	404	868
318	406	866
319	406	864
320	407	862
321	408	860
322	409	858
323	410	855
324	410	853
325	411	851
326	413	850
327	414	848
328	415	846
329	416	844
330	417	842
331	418	841
332	419	840
333	420	838
334	421	836
335	422	834
336	423	832
337	423	829
338	424	828
339	425	826
340	426	824
341	427	823
342	428	821
343	429	819
344	430	817
345	431	815
346	432	813
347	433	811
348	434	809
349	434	807
350	435	805
351	436	804
352	437	802
353	438	800
354	439	798
355	440	796
356	441	794
357	442	793
358	443	792
359	444	790
360	445	788
361	446	786
362	447	784
363	448	783
364	449	782
365	450	781
366	451	779
367	452	777
368	453	775
369	454	773
370	454	771
371	456	770
372	457	769
373	458	768
374	459	766
375	460	764
376	461	763
377	463	762
